key	value
decision	R3_TWO_GROUP_ALPHA_FINAL_DIFFERENCE_CAUSE_RECORD_CREATED
nan_cell_locator	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_OLD_ALPHA_NAN_CELL_LOCATOR_20260703_033853
valid_old_alpha_rows_recompare	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_EXCLUDE_BAD_OLD_ALPHA_ROWS_AND_RECOMPARE_20260703_033951
true_formula_audit	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_TRUE_TWO_GROUP_ALPHA_FORMULA_AUDIT_20260703_033601
r3_record_summary	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RESTRICTED_SCAN_RECORD_SUMMARY_20260703_004319
total_old_rows	20
valid_old_two_group_alpha_rows	5
invalid_old_two_group_alpha_rows	15
valid_scf_count	5
old_range_min	4.134780
old_range_max	4.136485
r3_range_min	4.194414
r3_range_max	4.196145
difference_min	0.059635
difference_max	0.059660
qualitative_preference_unchanged	YES
cause_classification	MIXED_MODE_OLD_RESULTS_TABLE_WITH_ONLY_5_VALID_TWO_GROUP_ROWS_PLUS_FORMULA_IMPLEMENTATION_DETAIL_DIFFERENCE
claim_promotion	NO
likelihood_claim	NO
posterior	NO
MCMC	NO
K2_claim	NO
manuscript_claim	NO
public_scientific_claim	NO
app_py_modify	NO
git_add	NO
git_commit	NO
git_push	NO
public_update	NO
pointer_promotion	NO
recommended_next	STOP
