key	value
decision	ATTACH_REVIEW_TO_RS_FIXED_RECORD_SUMMARY_COMPLETE
attachment_type	ONE_ATTACHMENT_ONLY_NO_NEW_GATE
parent_rs_fixed_record	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_RS_FIXED_TEST_RECORD_SUMMARY_20260702_214916
parent_summary	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_RS_FIXED_TEST_RECORD_SUMMARY_20260702_214916/RS_FIXED_TEST_RECORD_SUMMARY.txt
parent_summary_sha256	b8b1b58a2c25877088f5b4e0197d3768262d67d4cbc9daccf73d38d9173ceff5
parent_tsv	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_RS_FIXED_TEST_RECORD_SUMMARY_20260702_214916/RS_FIXED_TEST_RECORD_SUMMARY.tsv
parent_tsv_sha256	725fcaeeae4e7b77bcdf74adc90f5dae276cec738933d601b019b255393ea6ac
attached_review	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333
review_decision	NARROW_ROW_ORDER_SEMANTIC_REVIEW_PASS
review_decision_file	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333/FINAL_DECISION.tsv
review_decision_sha256	b4500a6723894fcd74377202f24b0a1ccd9a16a1009bbc2da28c1cd20d0899a2
review_record	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333/NARROW_ROW_ORDER_SEMANTIC_REVIEW_RECORD.txt
review_record_sha256	eda8665ff459fc0d60273d3dabd8cc5af610def6bd2433e6850ec8febef084c4
review_semantic_summary	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333/SEMANTIC_REVIEW_SUMMARY.tsv
review_semantic_summary_sha256	b61b47624a634abba4ee0b58c257cb641a96558885c6a247966b82e23429ad50
review_case_review	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333/VECTOR_CASE_ROW_ORDER_REVIEW.tsv
review_case_review_sha256	83a81e7d84f0f0d1952f68bf6b8f00760417e3c5f8bcdd4651ff0efc35eaf1e4
review_pairing_review	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333/H0_BRANCH_PAIRING_REVIEW.tsv
review_pairing_review_sha256	8993c4c0ab88611a74448412a9e7d0f556f61195177de26613e32c5db7694f75
mean_rows_13	PASS
mean_observable_pattern_expected	PASS
DM_rows	6
DH_rows	6
DV_rows	1
case_count_10	PASS
all_cases_row_order_pass	PASS
all_scf0_pairs_pass	PASS
scf0_pairing_0.048	PASS
scf0_pairing_0.049	PASS
scf0_pairing_0.050	PASS
scf0_pairing_0.051	PASS
scf0_pairing_0.052	PASS
likelihood_claim	NO
posterior	NO
MCMC	NO
K2_claim	NO
manuscript_claim	NO
pointer_promotion	NO
app_py_modify	NO
git_add	NO
git_commit	NO
git_push	NO
public_update	NO
recommended_next	STOP
